MR,Ref
"food[Chinese], area[riverside], name[Browns Cambridge], eattype[coffee shop], period[.], customerrating[average], near[Crowne Plaza Hotel], familyfriendly[no], period[.]",For Chinese food on the riverside try Browns Cambridge coffee shop. It serves Chinese food and has received average customer ratings. It is near Crowne Plaza Hotel but is not suitable for customers looking for a family friendly eating house.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], period[.], customerrating[average], familyfriendly[no], area[riverside], near[Crowne Plaza Hotel], period[.]",The Browns Cambridge coffee shop serves Chinese food. The customer rating is average but is not family friendly. It is located on the riverside near Crowne Plaza Hotel.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[average], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is average.
"food[Chinese], eattype[coffee shop], name[Browns Cambridge], familyfriendly[no], customerrating[average], period[.], area[riverside], near[Crowne Plaza Hotel], period[.]",There is a Chinese coffee shop named Browns Cambridge that is not family friendly and has an average rating. It is in the riverside area near Crowne Plaza Hotel.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], near[Crowne Plaza Hotel], period[.], familyfriendly[no], customerrating[average], period[.]",Browns Cambridge is a coffee shop that serves Chinese food in the riverside area near Crowne Plaza Hotel. It is not family friendly and has an average customer rating.
"area[riverside], near[Crowne Plaza Hotel], familyfriendly[yes], food[Chinese], eattype[coffee shop], period[.], customerrating[average], name[Browns Cambridge], period[.]",In the riverside near the Crowne Plaza Hotel is a family friendly Chinese coffee shop. It has an average customer rating and is named Browns Cambridge.
"eattype[coffee shop], near[Crowne Plaza Hotel], area[riverside], name[Browns Cambridge], period[.], food[Chinese], familyfriendly[yes], customerrating[average], period[.]","There is a coffee shop located near Crowne Plaza Hotel, in the riverside area, called Browns Cambridge. They offer Chinese food, are reported to be family friendly, and have and average customer rating."
"name[Browns Cambridge], area[riverside], eattype[coffee shop], near[Crowne Plaza Hotel], period[.], familyfriendly[yes], food[Chinese], customerrating[average], period[.]",Browns Cambridge is a riverside coffee shop near the Crowne Plaza Hotel. It is a family friendly coffee shopping which serves Chinese food and has an average rating
"customerrating[average], familyfriendly[yes], eattype[coffee shop], near[Crowne Plaza Hotel], name[Browns Cambridge], food[Chinese], period[.]","An average, family friendly coffee shop located near the Crowne Plaza Hotel, the Browns Cambridge serves Chinese food."
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[average], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is average.
"name[Browns Cambridge], customerrating[average], eattype[coffee shop], food[Chinese], period[.], area[riverside], near[Crowne Plaza Hotel], familyfriendly[yes], period[.]","Browns Cambridge is an average rated coffee shop serving Chinese food. It is located by the riverside, near to the Crowne Plaza Hotel and is family friendly"
"food[Chinese], name[Browns Cambridge], eattype[coffee shop], period[.], customerrating[average], area[riverside], near[Crowne Plaza Hotel], familyfriendly[yes], period[.]","Chinese food is served at the Browns Cambridge coffee shop. It has an average customer rating, is located in the Riverside area near the Crowne Plaza Hotel and yes, is family friendly."
"name[Browns Cambridge], eattype[coffee shop], near[Crowne Plaza Hotel], area[riverside], period[.], food[Chinese], familyfriendly[yes], customerrating[average], period[.]","Browns Cambridge is a coffee shop located near the Crowne Plaza Hotel, in the riverside area. This establishment offers Chinese food, is family friendly, and has an average customer rating."
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], period[.], area[riverside], familyfriendly[yes], customerrating[average], near[Crowne Plaza Hotel], period[.]","Browns Cambridge coffee shop serves Chinese food. Located in Riverside, Browns Cambridge is children friendly. The customers rate their experience as average. You can find this location near Crowne Plaza Hotel."
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], period[.], area[riverside], near[Crowne Plaza Hotel], customerrating[average], familyfriendly[yes], period[.]","Browns Cambridge is a coffee shop that also serves Chinese food. It is located in the riverside area near the Crowne Plaza Hotel, has an average customer rating and yes, is family friendly."
"customerrating[average], food[Chinese], eattype[coffee shop], area[riverside], name[Browns Cambridge], period[.], near[Crowne Plaza Hotel], period[.]",An average rated Chinese coffee shop located in Riverside is called Browns Cambridge.  It is near Crowne Plaza Hotel.
"name[Browns Cambridge], food[Chinese], eattype[coffee shop], customerrating[average], area[riverside], near[Crowne Plaza Hotel], period[.], familyfriendly[yes], period[.]",Browns Cambridge is a Chinese coffee shop with an average customer rating located in the riverside near Crowne Plaza Hotel. It is family friendly.
"name[Browns Cambridge], food[Chinese], eattype[coffee shop], customerrating[average], area[riverside], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is a Chinese coffee shop with an average rating located in Riverside near Crowne Plaza Hotel.
"familyfriendly[yes], eattype[coffee shop], name[Browns Cambridge], food[Chinese], area[riverside], near[Crowne Plaza Hotel], period[.], customerrating[high], period[.]","The kid friendly coffee shop, Browns Cambridge, serves Chinese food and is located in riverside near the Crowne Plaza Hotel. It has a high customer rating."
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], food[Chinese], area[riverside], near[Crowne Plaza Hotel], period[.]","The Browns Cambridge is a low rated, kids friendly coffee shop offering Chinese food which is located at riverside near Crowne Plaza Hotel."
"name[Browns Cambridge], customerrating[high], eattype[coffee shop], food[Chinese], familyfriendly[yes], period[.], area[riverside], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is a high rated coffee shop offering Chinese food and is kids friendly. It is located at riverside near Crowne Plaza Hotel.
"customerrating[high], eattype[coffee shop], name[Browns Cambridge], familyfriendly[yes], area[riverside], near[Crowne Plaza Hotel], food[Chinese], period[.]",The highly rated coffee shop Browns Cambridge is a kids friendly establishment in the riverside area near to the Crowne Plaza Hotel offering Chinese food.
"name[Browns Cambridge], eattype[coffee shop], area[riverside], near[Crowne Plaza Hotel], period[.], food[Chinese], customerrating[high], familyfriendly[yes], period[.]","Browns Cambridge is a coffee shop are on the riverside located near Crowne Plaza Hotel. They serve Chinese food, have a high customer rating, and are kid friendly."
"eattype[coffee shop], name[Browns Cambridge], near[Crowne Plaza Hotel], area[riverside], period[.], food[Chinese], familyfriendly[yes], customerrating[high], period[.]","The coffee shop Browns Cambridge is situated near the Crowne Plaza Hotel in the riverside area. Offering Chinese food, it is kids friendly establishment with a high customer rating."
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], food[Chinese], period[.], customerrating[high], near[Crowne Plaza Hotel], area[riverside], period[.]",Browns Cambridge is a kid friendly coffee shop that serves Chinese food. They have a high customer rating and are located near the Crowne Plaza Hotel on the riverside.
"near[Crowne Plaza Hotel], name[Browns Cambridge], eattype[coffee shop], food[Chinese], period[.], area[riverside], familyfriendly[yes], customerrating[high], period[.]","Located near the Crowne Plaza Hotel, Browns Cambridge is a coffee shop styled establishment that sells delicious Chinese food.  Known in the Riverside area for it's children friendly atmosphere, it has received high ratings."
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[high], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is high.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[high], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is high.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[high], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is high.
"name[Browns Cambridge], customerrating[low], eattype[coffee shop], food[Chinese], area[city centre], period[.], near[Crowne Plaza Hotel], familyfriendly[no], period[.]",Browns Cambridge is a low rated coffee shop that serves Chinese food in the centre of the city. Located near Crowne Plaza Hotel this coffee shop is not family friendly.
"eattype[coffee shop], name[Browns Cambridge], food[Chinese], familyfriendly[no], customerrating[low], period[.], near[Crowne Plaza Hotel], area[city centre], period[.]","The coffee shop Browns Cambridge serves Chinese food and is not family friendly,  It has a low customer service rating.  It's located near the Crowne Plaza Hotel in the city centre."
"name[Browns Cambridge], eattype[coffee shop], area[city centre], near[Crowne Plaza Hotel], food[Chinese], familyfriendly[no], customerrating[low], period[.]","Browns Cambridge is a coffee shop in the city centre, near Crowne Plaza Hotel, that also serves Chinese food, is not family friendly and has a low customer rating."
"eattype[coffee shop], name[Browns Cambridge], area[city centre], near[Crowne Plaza Hotel], food[Chinese], familyfriendly[no], customerrating[low], period[.]","There is a coffee shop called Browns Cambridge in the city centre, near Crowne Plaza Hotel, that serves Chinese food, it is not family friendly and has a low customer rating."
"name[Browns Cambridge], eattype[coffee shop], area[city centre], near[Crowne Plaza Hotel], period[.], food[Chinese], familyfriendly[no], customerrating[low], period[.]","Browns Cambridge coffee shop is located in the city centre near Crowne Plaza Hotel.  Serving Chinese food, it is not family friendly and has a low customer rating."
"eattype[coffee shop], name[Browns Cambridge], food[Chinese], period[.], familyfriendly[no], customerrating[low], near[Crowne Plaza Hotel], area[city centre], period[.]",The coffee shop Browns Cambridge serves Chinese food.  It is not family friendly and has a low customer service rating.  It's located near the Crowne Plaza Hotel in the city centre.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], period[.], customerrating[low], area[city centre], near[Crowne Plaza Hotel], familyfriendly[no], period[.]","Browns Cambridge coffee shop serves Chinese food and is not family friendly. With a low customer rating, it is located in the city centre near Crowne Plaza Hotel, it is not family friendly."
"name[Browns Cambridge], familyfriendly[yes], food[Chinese], eattype[coffee shop], customerrating[low], area[city centre], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is a family friendly Chinese coffee shop with low customer rating in the centre of the city near Crowne Plaza Hotel.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[city centre], period[.], near[Crowne Plaza Hotel], customerrating[low], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is low.
"eattype[coffee shop], food[Chinese], area[city centre], near[Crowne Plaza Hotel], name[Browns Cambridge], familyfriendly[yes], customerrating[low], period[.]","There is a coffee shop that serves Chinese food, in the city centre near the Crowne Plaza Hotel called Browns Cambridge, it is family friendly, but the customer Rating is low."
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[city centre], near[Crowne Plaza Hotel], period[.], customerrating[low], familyfriendly[yes], period[.]","Browns Cambridge is a coffee shop that serves Chinese food, located in the city centre near Crowne Plaza Hotel. The customer Rating is low but is family friendly."
"name[Browns Cambridge], familyfriendly[yes], food[Chinese], eattype[coffee shop], customerrating[low], area[city centre], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is a family friendly Chinese coffee shop with low customer rating in the centre of the Crowne Plaza Hotel.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[city centre], period[.], near[Crowne Plaza Hotel], customerrating[low], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is low.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[low], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is low.
"name[Browns Cambridge], eattype[coffee shop], area[riverside], near[Crowne Plaza Hotel], period[.], familyfriendly[no], food[Chinese], customerrating[low], period[.]",Browns Cambridge is a coffee shop located by the riverside and near Crowne Plaza Hotel. No it is not family friendly but does offer Chinese food. It has a low customer rating.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[low], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is low.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[low], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is low.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], customerrating[low], area[riverside], period[.], familyfriendly[no], near[Crowne Plaza Hotel], period[.]","Browns Cambridge is a coffee shop that offers Chinese food, has a low customer rating and is located by the area of riverside. No it is not family friendly. Browns Cambridge is near Crowne Plaza Hotel."
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], customerrating[low], period[.], food[Chinese], near[Crowne Plaza Hotel], area[riverside], period[.]",The Browns Cambridge is a family friendly coffee shop with low customer rating. It has Chinese food and is located near the Crowne Plaza Hotel in Riverside.
"name[Browns Cambridge], food[Chinese], customerrating[low], period[.], familyfriendly[yes], area[riverside], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is a Chinese coffee ship with a low customer rating. It is family friendly place locater in the riverside area the  Crowne Plaza Hotel.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[low], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is low.
"name[Browns Cambridge], eattype[coffee shop], customerrating[low], period[.], food[Chinese], area[riverside], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is coffee shop with low customer rating. It serves Chinese food. They are located in Riverside near the Crowne Plaza Hotel.
"area[riverside], near[Crowne Plaza Hotel], familyfriendly[yes], food[Chinese], eattype[coffee shop], customerrating[low], name[Browns Cambridge], period[.]",In the riverside near the Crowne Plaza Hotel is a family friendly Chinese coffee shop with a low customer rating known as Browns Cambridge.
"name[Browns Cambridge], eattype[coffee shop], food[Chinese], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[low], period[.]",Browns Cambridge is a coffee shop providing Chinese food It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is low.
"familyfriendly[yes], eattype[coffee shop], food[English], name[Browns Cambridge], area[riverside], near[Crowne Plaza Hotel], customerrating[1 out of 5], period[.]","a family coffee shop with English food is Browns Cambridge, in the area of riverside close to Crowne Plaza Hotel with a customer rating 1 out of 5"
"name[Browns Cambridge], area[riverside], period[.], eattype[coffee shop], food[English], familyfriendly[yes], customerrating[1 out of 5], period[.]",Browns Cambridge is located near Crown Plaza Hotel in riverside. It's a coffee shop that serves English food and is kid friendly but only rated 1 out of 5.
"name[Browns Cambridge], familyfriendly[yes], food[English], eattype[coffee shop], area[riverside], period[.], customerrating[1 out of 5], period[.]",Browns Cambridge is a kid friendly English coffee shop located at the riverside near the Crown Plaza Hotel. Customers rate it 1 out of 5.
"eattype[coffee shop], name[Browns Cambridge], food[English], period[.], familyfriendly[yes], area[riverside], customerrating[1 out of 5], period[.]",A coffee shop called Browns Cambridge provides English food and is near to Crown Plaza Hotel. It is kids friendly and is by the riverside with a customer rating of 1 out of 5.
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], area[riverside], food[English], customerrating[1 out of 5], near[Crowne Plaza Hotel], period[.]","Browns Cambridge is a family coffee shop in the area of riverside,they also sell English food with a rating 1 out of 5 is near to Crowne Plaza Hotel"
"name[Browns Cambridge], familyfriendly[yes], food[English], eattype[coffee shop], near[Crowne Plaza Hotel], area[riverside], period[.], customerrating[1 out of 5], period[.]",Browns Cambridge is a child friendly English coffee shop that is located near the Crowne Plaza Hotel in the riverside area. It has a rating of 1 out of 5.
"familyfriendly[yes], eattype[coffee shop], name[Browns Cambridge], area[riverside], food[English], period[.], customerrating[1 out of 5], period[.]","The kid friendly coffee shop, Browns Cambridge, near Crown Plaza Hotel in riverside serves English food. It only got 1 out of 5."
"familyfriendly[yes], eattype[coffee shop], area[riverside], near[Crowne Plaza Hotel], name[Browns Cambridge], customerrating[1 out of 5], period[.]",There is a family friendly coffee shop in the riverside area near Crowne Plaza Hotel named Browns Cambridge rated 1 out of 5.
"familyfriendly[yes], food[English], eattype[coffee shop], near[Crowne Plaza Hotel], area[riverside], name[Browns Cambridge], period[.], customerrating[1 out of 5], period[.]",There is a children friendly English coffee shop by the Crowne Plaza Hotel near the riverside area called Browns Cambridge. It has a rating of 1 out of five.
"familyfriendly[yes], eattype[coffee shop], name[Browns Cambridge], food[English], customerrating[1 out of 5], period[.]",Near to the Crown Plaza Hotel there is a kids friendly coffee shop called Browns Cambridge that provides English food and has a customer rating of 1 out of 5.
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], area[riverside], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is a family friendly coffee shop in the riverside area near Crowne Plaza Hotel rated 1 our of 5.
"area[riverside], familyfriendly[yes], food[English], eattype[coffee shop], name[Browns Cambridge], customerrating[1 out of 5], period[.]","Near the Crown Plaza Hotel at the riverside, there is a kid friendly English coffee shop called Browns Cambridge, customers rate is 1 out of 5."
"food[English], eattype[coffee shop], name[Browns Cambridge], area[riverside], near[Crowne Plaza Hotel], customerrating[3 out of 5], period[.], familyfriendly[yes], period[.]",There is an English coffee shop called the Browns Cambridge which is located in the Riverside area near the Crowne Plaza Hotel which has a decent rating of 3 out 5. And yes it is a kid friendly environment.
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], near[Crowne Plaza Hotel], area[riverside], period[.], customerrating[3 out of 5], period[.]",Browns Cambridge is a kids friendly coffee shop located near the Crowne Plaza Hotel in Riverside.  It has a  customer rating of 3 out of 5.
"near[Crowne Plaza Hotel], food[English], eattype[coffee shop], name[Browns Cambridge], customerrating[3 out of 5], period[.]","Yes, near the Crowne Plaza Hotel, there is an English coffee Shop called the Browns Cambridge which has a good customer rating of 3 out of 5."
"name[Browns Cambridge], near[Crowne Plaza Hotel], area[riverside], familyfriendly[yes], eattype[coffee shop], customerrating[3 out of 5], period[.]",Browns Cambridge near the Crowne Plaza Hotel in the riverside area is a kids friendly coffee shop with a customer rating of 3 out of 5.
"name[Browns Cambridge], food[English], eattype[coffee shop], period[.], customerrating[5 out of 5], near[Crowne Plaza Hotel], area[city centre], familyfriendly[no], period[.]",Browns Cambridge serves English food in a coffee shop.  Rated 5 out of 5 stars. It is near Crowne Plaza Hotel and in the city centre area. It is not family-friendly.
"name[Browns Cambridge], customerrating[5 out of 5], familyfriendly[no], eattype[coffee shop], area[city centre], near[Crowne Plaza Hotel], food[English], period[.]","The Browns Cambridge is a highly rated non-family-friendly coffee shop, located in the city centre near the Crowne Plaza Hotel, which serves English food."
"name[Browns Cambridge], eattype[coffee shop], customerrating[5 out of 5], food[English], near[Crowne Plaza Hotel], area[city centre], period[.], familyfriendly[no], period[.]",Browns Cambridge coffee shop serves excellent English food near the Crowne Plaza Hotel in the city centre. Not family-friendly.
"near[Crowne Plaza Hotel], area[city centre], name[Browns Cambridge], food[English], eattype[coffee shop], period[.], familyfriendly[no], period[.]","Near Crowne Plaza Hotel in the city centre, Browns Cambridge English coffee shop. Not family-friendly"
"name[Browns Cambridge], eattype[coffee shop], food[English], customerrating[5 out of 5], period[.], area[city centre], near[Crowne Plaza Hotel], familyfriendly[no], period[.]",Browns Cambridge is a coffee shop serving English food with a customer rating of 5 out of 5 stars.  It is in the city centre area near the Crowne Plaza Hotel. Not Kid Friendly
"area[city centre], near[Crowne Plaza Hotel], customerrating[5 out of 5], familyfriendly[no], eattype[coffee shop], name[Browns Cambridge], food[English], period[.]","In the city centre, near the Crowne Plaza Hotel, there is a highly rated non-family-friendly coffee shop called Browns Cambridge that serves English food."
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], near[Crowne Plaza Hotel], area[city centre], period[.], food[English], customerrating[5 out of 5], period[.]",Browns Cambridge is a family-friendly coffee shop near the Crowne Plaza Hotel in the centre of the city.  They serve English food and have a customer rating of 5 out of 5.
"familyfriendly[yes], customerrating[5 out of 5], food[English], name[Browns Cambridge], eattype[coffee shop], area[city centre], near[Crowne Plaza Hotel], period[.]",family-friendly highly rated English food at Browns Cambridge coffee shop in the city centre near Crowne Plaza Hotel
"area[city centre], near[Crowne Plaza Hotel], familyfriendly[yes], customerrating[5 out of 5], food[English], name[Browns Cambridge], eattype[coffee shop], period[.]",in the city centre near Crowne Plaza Hotel is family-friendly highly rated English food at Browns Cambridge coffee shop
"food[English], name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], customerrating[5 out of 5], period[.], near[Crowne Plaza Hotel], area[city centre], period[.]","Serving English food, Browns Cambridge is a family-friendly coffee shop with a customer rating of 5 out of 5.  It is located near the Crowne Plaza Hotel in the city centre."
"name[Browns Cambridge], food[English], eattype[coffee shop], near[Crowne Plaza Hotel], period[.], area[riverside], familyfriendly[no], customerrating[5 out of 5], period[.]","Browns Cambridge is an English coffee shop near Crowne Plaza Hotel. It is located on the riverside. It is not family-friendly, but receives a 5 out of 5 rating."
"name[Browns Cambridge], food[English], eattype[coffee shop], area[riverside], period[.], familyfriendly[no], customerrating[5 out of 5], near[Crowne Plaza Hotel], period[.]","Browns Cambridge is an English coffee shop located on the riverside. It is not family-friendly, but received a 5 out of 5 rating. It is near Crowne Plaza Hotel."
"familyfriendly[no], customerrating[5 out of 5], name[Browns Cambridge], near[Crowne Plaza Hotel], area[riverside], period[.], eattype[coffee shop], food[English], period[.]","For an adults-only venue, rated 5 out of 5 by its patrons, head to Browns Cambridge, near Crowne Plaza Hotel in riverside.  It is a coffee shop offering English food."
"name[Browns Cambridge], customerrating[5 out of 5], food[English], eattype[coffee shop], familyfriendly[no], period[.], near[Crowne Plaza Hotel], area[riverside], period[.]","Browns Cambridge, a 5 out of 5 English coffee shop, is not kid friendly. It is located near Crowne Plaza Hotel and riverside."
"near[Crowne Plaza Hotel], area[riverside], customerrating[5 out of 5], food[English], eattype[coffee shop], name[Browns Cambridge], familyfriendly[no], period[.]","Near the Crowne Plaza Hotel and riverside, the 5 out of 5 English coffee shop Browns Cambridge, is no kid friendly."
"name[Browns Cambridge], near[Crowne Plaza Hotel], area[riverside], eattype[coffee shop], food[English], period[.], familyfriendly[no], customerrating[5 out of 5], period[.]","Browns Cambridge, near Crowne Plaza Hotel in riverside, is a coffee shop offering English food.  Although not family-friendly, it has been rated 5 out of 5 by its patrons."
"food[English], area[riverside], name[Browns Cambridge], customerrating[5 out of 5], near[Crowne Plaza Hotel], period[.], familyfriendly[yes], period[.]","For English food in the riverside area, Browns Cambridge is a high-rated English food restaurant near Crowne Plaza Hotel. It is family friendly."
"name[Browns Cambridge], eattype[coffee shop], period[.], familyfriendly[yes], near[Crowne Plaza Hotel], period[.]","Browns Cambridge is a good coffee shop for family . It's not in the city centre . Family can eat breakfast at Browns Cambridge . This Café in not in the centre of the city ,It's near the Crowne Plaza Hotel ."
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], food[English], area[riverside], period[.], near[Crowne Plaza Hotel], customerrating[5 out of 5], period[.]",Browns Cambridge is a family friendly coffee shop serving English food in the riverside area. It is near the Crowne Plaza Hotel and rated 5 out of 5.
"name[Browns Cambridge], eattype[coffee shop], near[Crowne Plaza Hotel], period[.], food[English], familyfriendly[yes], customerrating[5 out of 5], period[.]",Browns Cambridge is a coffee shop near Crowne Plaza Hotel. It serves English food. It is family friendly and has a 5 star rating.
"familyfriendly[yes], eattype[coffee shop], name[Browns Cambridge], near[Crowne Plaza Hotel], period[.]",There is a family-friendly coffee shop called Browns Cambridge that is not far from the Crowne Plaza Hotel.
"name[Browns Cambridge], eattype[coffee shop], customerrating[5 out of 5], food[English], familyfriendly[yes], area[riverside], near[Crowne Plaza Hotel], period[.]","Browns Cambridge, a coffee shop, has a customer rating 5 out of 5, English food, family friendly, in the riverside area, and near Crowne Plaza Hotel."
"name[Browns Cambridge], eattype[coffee shop], near[Crowne Plaza Hotel], period[.], familyfriendly[yes], period[.]",Browns Cambridge is a coffee shop near the Crowne Plaza Hotel. It's a good Café for family . It  doesn't located on the  centre of city . It's a good place for eating breakfast.
"name[Browns Cambridge], customerrating[5 out of 5], familyfriendly[yes], eattype[coffee shop], near[Crowne Plaza Hotel], period[.]","Browns Cambridge is a five-star, family friendly coffee shop that is close to the Crowne Plaza Hotel."
"name[Browns Cambridge], familyfriendly[yes], food[English], eattype[coffee shop], near[Crowne Plaza Hotel], area[riverside], period[.], customerrating[5 out of 5], period[.]",Browns Cambridge is a family friendly English coffee shop near the Crowne Plaza Hotel on the riverside. It has a 5 out of 5 customer rating.
"name[Browns Cambridge], customerrating[5 out of 5], familyfriendly[yes], food[English], period[.], near[Crowne Plaza Hotel], period[.]","Browns Cambridge boasts a five star rating, is family friendly, and serves English food. It is located next to Crowne Plaza Hotel."
"near[Crowne Plaza Hotel], area[riverside], eattype[coffee shop], name[Browns Cambridge], food[English], familyfriendly[yes], customerrating[5 out of 5], period[.]","Near Crowne Plaza Hotel in the riverside area, is a coffee shop called Browns Cambridge has English food, family friendly with a customer rating 5 out of 5."
"name[Browns Cambridge], area[city centre], near[Crowne Plaza Hotel], period[.], customerrating[average], food[English], eattype[coffee shop], familyfriendly[no], period[.]","Browns Cambridge is in the city centre near Crowne Plaza Hotel. It has an average rating and serves English food in a coffee shop setting, it isn't family-friendly."
"name[Browns Cambridge], food[English], eattype[coffee shop], near[Crowne Plaza Hotel], area[city centre], period[.], customerrating[average], familyfriendly[no], period[.]",Browns Cambridge is an English coffee shop located near the Crowne Plaza Hotel in the city centre. They have an average customer rating and re not family-friendly.
"name[Browns Cambridge], food[English], eattype[coffee shop], near[Crowne Plaza Hotel], area[city centre], period[.], customerrating[average], period[.]",Browns Cambridge is an English  coffee shop near Crowne Plaza Hotel in the city centre. It has an average customer rating.
"name[Browns Cambridge], food[English], eattype[coffee shop], near[Crowne Plaza Hotel], area[city centre], period[.], customerrating[average], familyfriendly[no], period[.]",Browns Cambridge is an English coffee shop located near the Crowne Plaza Hotel in the city centre. They have an average customer rating and re not family-friendly.
"area[city centre], near[Crowne Plaza Hotel], familyfriendly[no], eattype[coffee shop], name[Browns Cambridge], period[.], food[English], customerrating[average], period[.]",In the city centre near Crowne Plaza Hotel is a non family-friendly coffee shop called Browns Cambridge. It serves English food with an average customer rating.
"name[Browns Cambridge], customerrating[average], food[English], eattype[coffee shop], near[Crowne Plaza Hotel], area[city centre], period[.]",Browns Cambridge with an average customer rating is an English  coffee shop near Crowne Plaza Hotel in the city centre.
"area[city centre], near[Crowne Plaza Hotel], name[Browns Cambridge], eattype[coffee shop], period[.], familyfriendly[yes], food[English], customerrating[average], period[.]","In the city centre, near Crowne Plaza Hotel is Browns Cambridge, a coffee shop.  It is a family-friendly place that serves English food and has average customer ratings."
"near[Crowne Plaza Hotel], area[city centre], eattype[coffee shop], name[Browns Cambridge], period[.], food[English], customerrating[average], familyfriendly[yes], period[.]","Near Crowne Plaza Hotel in the centre of the city is a coffee shop, Browns Cambridge.  Serving English food, it has average customer ratings but if family-friendly."
"near[Crowne Plaza Hotel], name[Browns Cambridge], eattype[coffee shop], food[English], familyfriendly[yes], customerrating[average], period[.]","Located near Crowne Plaza Hotel, The Browns Cambridge coffee shop serves English food in a family-friendly environment and has an average customer rating."
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], food[English], period[.], area[city centre], near[Crowne Plaza Hotel], customerrating[average], period[.]",Browns Cambridge is a  family-friendly coffee shop providing English food. It is located in city centre near the Crowne Plaza Hotel and it has average customer's rating and
"name[Browns Cambridge], eattype[coffee shop], near[Crowne Plaza Hotel], food[English], familyfriendly[yes], customerrating[average], period[.]","The Browns Cambridge coffee shop, located near Crowne Plaza Hotel, serves English food in a family-friendly environment and has an average customer rating."
"familyfriendly[yes], eattype[coffee shop], name[Browns Cambridge], area[city centre], near[Crowne Plaza Hotel], food[English], customerrating[average], period[.]",There is a family-friendly  coffee shop Browns Cambridge  in the city centre near the Crowne Plaza Hotel  that provides English food and it is average rating hotel.
